Country Code,IncomeGroup,Country Name,year,GDP,IC.BUS.NREG,IC.REG.PROC,IC.REG.DURS,GDP_growth
ARE,High income,United Arab Emirates,2006,222116541865.214,7698,10,19.3,9.83731977348489
ARE,High income,United Arab Emirates,2007,257916133424.098,8778,9,18.3,3.1843901736724
ARE,High income,United Arab Emirates,2008,315474615738.598,9084,9,18.2,3.19183627610384
ARE,High income,United Arab Emirates,2009,253547358747.447,6963,8,15.2,-5.2429219066759
ARE,High income,United Arab Emirates,2010,289787452661.675,8623,8,15.2,1.60285004831249
ARE,High income,United Arab Emirates,2011,350666058379.85,9644,7,13.2,6.92850859456968
ARE,High income,United Arab Emirates,2012,384610125384.033,11380,6,8.2,4.77662573667088
ARE,High income,United Arab Emirates,2013,400218529747.597,12784,6,8.3,5.05555965425988
ARE,High income,United Arab Emirates,2014,414105366758.911,15661,6,8.3,4.16569184256178
ARE,High income,United Arab Emirates,2015,370275469560.166,16625,6,8.3,6.78677287945216
ARE,High income,United Arab Emirates,2016,369255326235.771,16735,4,8.3,5.56149075496799
ARE,High income,United Arab Emirates,2017,390516804016.501,16285,4,8.3,0.735068713165646
ARE,High income,United Arab Emirates,2018,427049432149.345,17907,2,3.8,1.31391388141118
ARE,High income,United Arab Emirates,2019,417989721734.494,22593,2,3.8,1.10834813893099
ATG,High income,Antigua and Barbuda,2006,1157662962.96296,295,9,22,12.7081485327737
ATG,High income,Antigua and Barbuda,2007,1312759259.25926,257,9,22,9.31538316339753
ATG,High income,Antigua and Barbuda,2008,1370070370.37037,226,9,22,-0.0143406519435985
ATG,High income,Antigua and Barbuda,2009,1228329629.62963,159,9,22,-11.9626972488343
ATG,High income,Antigua and Barbuda,2010,1148700000,193,9,22,-7.84059474412172
ATG,High income,Antigua and Barbuda,2011,1137637037.03704,187,9,22,-1.95861262834343
ATG,High income,Antigua and Barbuda,2012,1199948148.14815,168,9,22,3.37286620031867
ATG,High income,Antigua and Barbuda,2013,1181448148.14815,217,9,22,-0.600876396735046
ATG,High income,Antigua and Barbuda,2014,1249733333.33333,246,9,22,3.79572761294251
ATG,High income,Antigua and Barbuda,2015,1336692592.59259,271,9,22,3.82529309880827
ATG,High income,Antigua and Barbuda,2016,1436585185.18519,296,9,22,5.49645920357835
ATG,High income,Antigua and Barbuda,2017,1467977777.77778,380,9,22,3.14432323970505
ATG,High income,Antigua and Barbuda,2018,1605944444.44444,280,9,22,6.883640816875
ATG,High income,Antigua and Barbuda,2019,1687533333.33333,242,9,19,4.86223616575663
AUS,High income,Australia,2006,747906558849.955,133756,3,3,2.74063570365783
AUS,High income,Australia,2007,854427259166.209,157438,3,3,3.77791678266478
AUS,High income,Australia,2008,1055642793196.06,141827,3,2.5,3.5682700322582
AUS,High income,Australia,2009,928626859078.192,145963,3,2.5,1.87048696091408
AUS,High income,Australia,2010,1148610059015.24,159246,3,2.5,2.20656631017093
AUS,High income,Australia,2011,1398405797101.45,166740,3,2.5,2.3913851323057
AUS,High income,Australia,2012,1546892142709.84,184237,3,2.5,3.902007806318
AUS,High income,Australia,2013,1576380424746.08,201855,3,2.5,2.57875428825342
AUS,High income,Australia,2014,1467545212521.8,222294,3,2.5,2.57901711177597
AUS,High income,Australia,2015,1350615691821.28,241023,3,2.5,2.1527359059391
AUS,High income,Australia,2016,1206535157956.03,243105,3,2.5,2.73054799209893
AUS,High income,Australia,2017,1326516328531.56,249048,3,2.5,2.2821836424846502
AUS,High income,Australia,2018,1428288504767.07,235684,3,2.5,2.88304512347683
